"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"undp_hdi",1,190,0.7191,0.15328168729948,0.7375,0.725888157894737,0.1749468,0.38,0.965,0.585,-0.337616944548824,-0.818051671210733,0.0111202223712562
"wdi_expedu",2,174,4.57875832863923,2.0658593722409,4.31240200996399,4.39082469940185,1.74631011414528,0.381919115781784,14.1951599121094,13.8132407963276,1.33615673729359,3.50867845318054,0.156612394840497
"wdi_acel",3,192,85.8401041666667,24.4662264486845,100,91.2974025974026,0,7.7,100,92.3,-1.65842253622204,1.54942482950788,1.76569780327529
"wdi_area",4,192,663647.3700625,1839052.88341333,120375,267089.425311688,177401.9856,2.084,16376870,16376867.916,5.45689904954331,34.4960363996693,132722.20966158
"wdi_taxrev",5,141,16.2108572691318,6.85496415306667,15.8771617065457,16.0777202063824,6.91264493853585,0.000058864372548248,44.3468321505376,44.3467732861651,0.470429773455362,1.23302111721088,0.577292123034722
"wdi_expmil",6,152,1.87270164764673,1.33656359763159,1.53811142492431,1.6742372867594,0.905529029972774,0.110133662270893,7.58146863585647,7.47133497358558,1.74546915119653,3.67360912154308,0.108409623119721
"wdi_fdiin",7,181,-2.86644631103304,97.4077152130218,2.81683452885051,3.3609168320833,2.98102268459693,-1303.10826691135,32.7522138541297,1335.86048076548,-13.1385695265508,172.406557886069,7.24025845171501
"wdi_trade",8,169,89.9733953869321,57.0163174557007,78.7627100301698,81.0891611932557,34.4131801794054,24.3450393271265,393.14119815602,368.796158828893,2.50635359043855,8.487029135293,4.38587057351544
"cbie_index",9,153,0.693532679738562,0.15381130221205,0.7095,0.701752032520325,0.1860663,0.3015,0.912,0.6105,-0.333182353851771,-0.871233261827302,0.0124349067732173
"wbgi_rle",10,193,-0.0657579336787565,0.99625272055695,-0.15831885,-0.0839866264516128,1.04977620531,-2.3008955,2.0134761,4.3143716,0.145756643704891,-0.66798086606984,0.0717118399983131
"bmr_dem",11,193,0.606217616580311,0.489858285523858,1,0.632258064516129,0,0,1,1,-0.431419736515567,-1.82324346831907,0.0352607709554824
"atop_ally",12,184,1,0,1,1,0,1,1,0,NA,NA,0
"gol_est",13,142,1.80985915492958,0.713925305423545,2,1.76315789473684,1.4826,1,3,2,0.289722488319543,-1.03164953818951,0.059911280752771
"mad_gdppc",14,162,19024.6336684851,20243.3109644466,12405.7517513694,15692.8358940957,14471.6078877646,606.859105151281,143468.756460503,142861.897355352,2.24733988874727,8.32771857936247,1590.46471740313
"mad_gdppc1900",15,47,2924.3332568956,2007.79455862149,2206,2686.57873445565,1656.0642,817.743016759777,8037.5712,7219.82818324022,0.924532335355301,-0.254124905585837,292.866936222842
"bci_bci",16,191,44.2621896439791,19.4858625597985,46.821653,45.4760339542484,19.3690852194,-3.496812,78.94162,82.438432,-0.521173270679645,-0.399712601310902,1.40994753104886
"lis_gini",17,35,0.3328,0.0612015955193788,0.313,0.327206896551724,0.0415128,0.236,0.485,0.249,0.907173088190825,-0.0652589569259154,0.0103449577698753
"top_top1_income_share",18,193,0.158515025906736,0.0446596286291792,0.1604,0.157958064516129,0.04344018,0.0601,0.274,0.2139,0.0796922463771908,-0.523464096048766,0.00321467041098705
"wdi_wip",19,192,24.5112921491491,12.9439793023131,23.4848484848484,24.1943761726209,13.6157142857143,0,61.25,61.25,0.239804194040014,-0.596269338050695,0.934151241821929
